"Description";"Native";"Bytes";"R-encoding"
"NORTH EAST ARROW";"↗";"\xE2\x86\x97";"<e2><86><97>"
"NORTH WEST ARROW";"↖";"\xE2\x86\x96";"<e2><86><96>"
"NOSE";"👃";"\xF0\x9F\x91\x83";"<ed><a0><bd><ed><b1><83>"
"NOTEBOOK";"📓";"\xF0\x9F\x93\x93";"<ed><a0><bd><ed><b3><93>"
"NOTEBOOK WITH DECORATIVE COVER";"📔";"\xF0\x9F\x93\x94";"<ed><a0><bd><ed><b3><94>"
"NUMBER SIGN + COMBINING ENCLOSING KEYCAP";"#⃣";"\x23\xE2\x83\xA3";"#<e2><83><a3>"
"NUT AND BOLT";"🔩";"\xF0\x9F\x94\xA9";"<ed><a0><bd><ed><b4><a9>"
"OCTOPUS";"🐙";"\xF0\x9F\x90\x99";"<ed><a0><bd><ed><b0><99>"
"ODEN";"🍢";"\xF0\x9F\x8D\xA2";"<ed><a0><bc><ed><bd><a2>"
"OFFICE BUILDING";"🏢";"\xF0\x9F\x8F\xA2";"<ed><a0><bc><ed><bf><a2>"
"OK HAND SIGN";"👌";"\xF0\x9F\x91\x8C";"<ed><a0><bd><ed><b1><8c>"
"OLDER MAN";"👴";"\xF0\x9F\x91\xB4";"<ed><a0><bd><ed><b1><b4>"
"OLDER WOMAN";"👵";"\xF0\x9F\x91\xB5";"<ed><a0><bd><ed><b1><b5>"
"ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE";"🔛";"\xF0\x9F\x94\x9B";"<ed><a0><bd><ed><b4><9b>"
"ONCOMING AUTOMOBILE";"🚘";"\xF0\x9F\x9A\x98";"<ed><a0><bd><ed><ba><98>"
"ONCOMING BUS";"🚍";"\xF0\x9F\x9A\x8D";"<ed><a0><bd><ed><ba><8d>"
"ONCOMING POLICE CAR";"🚔";"\xF0\x9F\x9A\x94";"<ed><a0><bd><ed><ba><94>"
"ONCOMING TAXI";"🚖";"\xF0\x9F\x9A\x96";"<ed><a0><bd><ed><ba><96>"
"OPEN BOOK";"📖";"\xF0\x9F\x93\x96";"<ed><a0><bd><ed><b3><96>"
"OPEN FILE FOLDER";"📂";"\xF0\x9F\x93\x82";"<ed><a0><bd><ed><b3><82>"
"OPEN HANDS SIGN";"👐";"\xF0\x9F\x91\x90";"<ed><a0><bd><ed><b1><90>"
"OPEN LOCK";"🔓";"\xF0\x9F\x94\x93";"<ed><a0><bd><ed><b4><93>"
"OPEN MAILBOX WITH LOWERED FLAG";"📭";"\xF0\x9F\x93\xAD";"<ed><a0><bd><ed><b3><ad>"
"OPEN MAILBOX WITH RAISED FLAG";"📬";"\xF0\x9F\x93\xAC";"<ed><a0><bd><ed><b3><ac>"
"OPHIUCHUS";"⛎";"\xE2\x9B\x8E";"<e2><9b><8e>"
"OPTICAL DISC";"💿";"\xF0\x9F\x92\xBF";"<ed><a0><bd><ed><b2><bf>"
"ORANGE BOOK";"📙";"\xF0\x9F\x93\x99";"<ed><a0><bd><ed><b3><99>"
"OUTBOX TRAY";"📤";"\xF0\x9F\x93\xA4";"<ed><a0><bd><ed><b3><a4>"
"OX";"🐂";"\xF0\x9F\x90\x82";"<ed><a0><bd><ed><b0><82>"
"PACKAGE";"📦";"\xF0\x9F\x93\xA6";"<ed><a0><bd><ed><b3><a6>"
"PAGE FACING UP";"📄";"\xF0\x9F\x93\x84";"<ed><a0><bd><ed><b3><84>"
"PAGE WITH CURL";"📃";"\xF0\x9F\x93\x83";"<ed><a0><bd><ed><b3><83>"
"PAGER";"📟";"\xF0\x9F\x93\x9F";"<ed><a0><bd><ed><b3><9f>"
"PALM TREE";"🌴";"\xF0\x9F\x8C\xB4";"<ed><a0><bc><ed><bc><b4>"
"PANDA FACE";"🐼";"\xF0\x9F\x90\xBC";"<ed><a0><bd><ed><b0><bc>"
"PAPERCLIP";"📎";"\xF0\x9F\x93\x8E";"<ed><a0><bd><ed><b3><8e>"
"PART ALTERNATION MARK";"〽";"\xE3\x80\xBD";"<e3><80><bd>"
"PARTY POPPER";"🎉";"\xF0\x9F\x8E\x89";"<ed><a0><bc><ed><be><89>"
"PASSPORT CONTROL";"🛂";"\xF0\x9F\x9B\x82";"<ed><a0><bd><ed><bb><82>"
"PAW PRINTS";"🐾";"\xF0\x9F\x90\xBE";"<ed><a0><bd><ed><b0><be>"
"PEACH";"🍑";"\xF0\x9F\x8D\x91";"<ed><a0><bc><ed><bd><91>"
"PEAR";"🍐";"\xF0\x9F\x8D\x90";"<ed><a0><bc><ed><bd><90>"
"PEDESTRIAN";"🚶";"\xF0\x9F\x9A\xB6";"<ed><a0><bd><ed><ba><b6>"
"PENCIL";"✏";"\xE2\x9C\x8F";"<e2><9c><8f>"
"PENGUIN";"🐧";"\xF0\x9F\x90\xA7";"<ed><a0><bd><ed><b0><a7>"
"PENSIVE FACE";"😔";"\xF0\x9F\x98\x94";"<ed><a0><bd><ed><b8><94>"
"PERFORMING ARTS";"🎭";"\xF0\x9F\x8E\xAD";"<ed><a0><bc><ed><be><ad>"
"PERSEVERING FACE";"😣";"\xF0\x9F\x98\xA3";"<ed><a0><bd><ed><b8><a3>"
"PERSON BOWING DEEPLY";"🙇";"\xF0\x9F\x99\x87";"<ed><a0><bd><ed><b9><87>"
"PERSON FROWNING";"🙍";"\xF0\x9F\x99\x8D";"<ed><a0><bd><ed><b9><8d>"
"PERSON RAISING BOTH HANDS IN CELEBRATION";"🙌";"\xF0\x9F\x99\x8C";"<ed><a0><bd><ed><b9><8c>"
"PERSON WITH BLOND HAIR";"👱";"\xF0\x9F\x91\xB1";"<ed><a0><bd><ed><b1><b1>"
"PERSON WITH FOLDED HANDS";"🙏";"\xF0\x9F\x99\x8F";"<ed><a0><bd><ed><b9><8f>"
"PERSON WITH POUTING FACE";"🙎";"\xF0\x9F\x99\x8E";"<ed><a0><bd><ed><b9><8e>"
"PERSONAL COMPUTER";"💻";"\xF0\x9F\x92\xBB";"<ed><a0><bd><ed><b2><bb>"
"PIG";"🐖";"\xF0\x9F\x90\x96";"<ed><a0><bd><ed><b0><96>"
"PIG FACE";"🐷";"\xF0\x9F\x90\xB7";"<ed><a0><bd><ed><b0><b7>"
"PIG NOSE";"🐽";"\xF0\x9F\x90\xBD";"<ed><a0><bd><ed><b0><bd>"
"PILE OF POO";"💩";"\xF0\x9F\x92\xA9";"<ed><a0><bd><ed><b2><a9>"
"PILL";"💊";"\xF0\x9F\x92\x8A";"<ed><a0><bd><ed><b2><8a>"
"PINE DECORATION";"🎍";"\xF0\x9F\x8E\x8D";"<ed><a0><bc><ed><be><8d>"
"PINEAPPLE";"🍍";"\xF0\x9F\x8D\x8D";"<ed><a0><bc><ed><bd><8d>"
"PISCES";"♓";"\xE2\x99\x93";"<e2><99><93>"
"PISTOL";"🔫";"\xF0\x9F\x94\xAB";"<ed><a0><bd><ed><b4><ab>"
"PLAYING CARD BLACK JOKER";"🃏";"\xF0\x9F\x83\x8F";"<ed><a0><bc><ed><b3><8f>"
"POLICE CAR";"🚓";"\xF0\x9F\x9A\x93";"<ed><a0><bd><ed><ba><93>"
"POLICE CARS REVOLVING LIGHT";"🚨";"\xF0\x9F\x9A\xA8";"<ed><a0><bd><ed><ba><a8>"
"POLICE OFFICER";"👮";"\xF0\x9F\x91\xAE";"<ed><a0><bd><ed><b1><ae>"
"POODLE";"🐩";"\xF0\x9F\x90\xA9";"<ed><a0><bd><ed><b0><a9>"
"POSTAL HORN";"📯";"\xF0\x9F\x93\xAF";"<ed><a0><bd><ed><b3><af>"
"POSTBOX";"📮";"\xF0\x9F\x93\xAE";"<ed><a0><bd><ed><b3><ae>"
"POT OF FOOD";"🍲";"\xF0\x9F\x8D\xB2";"<ed><a0><bc><ed><bd><b2>"
"POTABLE WATER SYMBOL";"🚰";"\xF0\x9F\x9A\xB0";"<ed><a0><bd><ed><ba><b0>"
"POUCH";"👝";"\xF0\x9F\x91\x9D";"<ed><a0><bd><ed><b1><9d>"
"POULTRY LEG";"🍗";"\xF0\x9F\x8D\x97";"<ed><a0><bc><ed><bd><97>"
"POUTING CAT FACE";"😾";"\xF0\x9F\x98\xBE";"<ed><a0><bd><ed><b8><be>"
"POUTING FACE";"😡";"\xF0\x9F\x98\xA1";"<ed><a0><bd><ed><b8><a1>"
"PRINCESS";"👸";"\xF0\x9F\x91\xB8";"<ed><a0><bd><ed><b1><b8>"
"PUBLIC ADDRESS LOUDSPEAKER";"📢";"\xF0\x9F\x93\xA2";"<ed><a0><bd><ed><b3><a2>"
"PURPLE HEART";"💜";"\xF0\x9F\x92\x9C";"<ed><a0><bd><ed><b2><9c>"
"PURSE";"👛";"\xF0\x9F\x91\x9B";"<ed><a0><bd><ed><b1><9b>"
"PUSHPIN";"📌";"\xF0\x9F\x93\x8C";"<ed><a0><bd><ed><b3><8c>"
"PUT LITTER IN ITS PLACE SYMBOL";"🚮";"\xF0\x9F\x9A\xAE";"<ed><a0><bd><ed><ba><ae>"
"RABBIT";"🐇";"\xF0\x9F\x90\x87";"<ed><a0><bd><ed><b0><87>"
"RABBIT FACE";"🐰";"\xF0\x9F\x90\xB0";"<ed><a0><bd><ed><b0><b0>"
"RADIO";"📻";"\xF0\x9F\x93\xBB";"<ed><a0><bd><ed><b3><bb>"
"RADIO BUTTON";"🔘";"\xF0\x9F\x94\x98";"<ed><a0><bd><ed><b4><98>"
"RAILWAY CAR";"🚃";"\xF0\x9F\x9A\x83";"<ed><a0><bd><ed><ba><83>"
"RAINBOW";"🌈";"\xF0\x9F\x8C\x88";"<ed><a0><bc><ed><bc><88>"
"RAISED FIST";"✊";"\xE2\x9C\x8A";"<e2><9c><8a>"
"RAISED HAND";"✋";"\xE2\x9C\x8B";"<e2><9c><8b>"
"RAM";"🐏";"\xF0\x9F\x90\x8F";"<ed><a0><bd><ed><b0><8f>"
"RAT";"🐀";"\xF0\x9F\x90\x80";"<ed><a0><bd><ed><b0><80>"
"RECREATIONAL VEHICLE";"🚙";"\xF0\x9F\x9A\x99";"<ed><a0><bd><ed><ba><99>"
"RED APPLE";"🍎";"\xF0\x9F\x8D\x8E";"<ed><a0><bc><ed><bd><8e>"
"REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N";"🇨🇳";"\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3";"<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3>"
"REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E";"🇩🇪";"\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA";"<ed><a0><bc><ed><b7><a9><ed><a0><bc><ed><b7><aa>"
"REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S";"🇪🇸";"\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8";"<ed><a0><bc><ed><b7><aa><ed><a0><bc><ed><b7><b8>"
"REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R";"🇫🇷";"\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7";"<ed><a0><bc><ed><b7><ab><ed><a0><bc><ed><b7><b7>"
"REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B";"🇬🇧";"\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7";"<ed><a0><bc><ed><b7><ac><ed><a0><bc><ed><b7><a7>"
"REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T";"🇮🇹";"\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9";"<ed><a0><bc><ed><b7><ae><ed><a0><bc><ed><b7><b9>"
"REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P";"🇯🇵";"\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5";"<ed><a0><bc><ed><b7><af><ed><a0><bc><ed><b7><b5>"
"REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R";"🇰🇷";"\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7";"<ed><a0><bc><ed><b7><b0><ed><a0><bc><ed><b7><b7>"
"REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U";"🇷🇺";"\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA";"<ed><a0><bc><ed><b7><b7><ed><a0><bc><ed><b7><ba>"
"REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S";"🇺🇸";"\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8";"<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>"
"REGISTERED SIGN";"®";"\xC2\xAE";"<c2><ae>"
"RELIEVED FACE";"😌";"\xF0\x9F\x98\x8C";"<ed><a0><bd><ed><b8><8c>"
"RESTROOM";"🚻";"\xF0\x9F\x9A\xBB";"<ed><a0><bd><ed><ba><bb>"
"REVOLVING HEARTS";"💞";"\xF0\x9F\x92\x9E";"<ed><a0><bd><ed><b2><9e>"
"RIBBON";"🎀";"\xF0\x9F\x8E\x80";"<ed><a0><bc><ed><be><80>"
"RICE BALL";"🍙";"\xF0\x9F\x8D\x99";"<ed><a0><bc><ed><bd><99>"
"RICE CRACKER";"🍘";"\xF0\x9F\x8D\x98";"<ed><a0><bc><ed><bd><98>"
"RIGHT-POINTING MAGNIFYING GLASS";"🔎";"\xF0\x9F\x94\x8E";"<ed><a0><bd><ed><b4><8e>"
"RIGHTWARDS ARROW WITH HOOK";"↪";"\xE2\x86\xAA";"<e2><86><aa>"
"RING";"💍";"\xF0\x9F\x92\x8D";"<ed><a0><bd><ed><b2><8d>"
"ROASTED SWEET POTATO";"🍠";"\xF0\x9F\x8D\xA0";"<ed><a0><bc><ed><bd><a0>"
"ROCKET";"🚀";"\xF0\x9F\x9A\x80";"<ed><a0><bd><ed><ba><80>"
"ROLLER COASTER";"🎢";"\xF0\x9F\x8E\xA2";"<ed><a0><bc><ed><be><a2>"
"ROOSTER";"🐓";"\xF0\x9F\x90\x93";"<ed><a0><bd><ed><b0><93>"
"ROSE";"🌹";"\xF0\x9F\x8C\xB9";"<ed><a0><bc><ed><bc><b9>"
"ROUND PUSHPIN";"📍";"\xF0\x9F\x93\x8D";"<ed><a0><bd><ed><b3><8d>"
"ROWBOAT";"🚣";"\xF0\x9F\x9A\xA3";"<ed><a0><bd><ed><ba><a3>"
"RUGBY FOOTBALL";"🏉";"\xF0\x9F\x8F\x89";"<ed><a0><bc><ed><bf><89>"
"RUNNER";"🏃";"\xF0\x9F\x8F\x83";"<ed><a0><bc><ed><bf><83>"
"RUNNING SHIRT WITH SASH";"🎽";"\xF0\x9F\x8E\xBD";"<ed><a0><bc><ed><be><bd>"
"SAGITTARIUS";"♐";"\xE2\x99\x90";"<e2><99><90>"
"SAILBOAT";"⛵";"\xE2\x9B\xB5";"<e2><9b><b5>"
"SAKE BOTTLE AND CUP";"🍶";"\xF0\x9F\x8D\xB6";"<ed><a0><bc><ed><bd><b6>"
"SATELLITE ANTENNA";"📡";"\xF0\x9F\x93\xA1";"<ed><a0><bd><ed><b3><a1>"
"SAXOPHONE";"🎷";"\xF0\x9F\x8E\xB7";"<ed><a0><bc><ed><be><b7>"
"SCHOOL";"🏫";"\xF0\x9F\x8F\xAB";"<ed><a0><bc><ed><bf><ab>"
"SCHOOL SATCHEL";"🎒";"\xF0\x9F\x8E\x92";"<ed><a0><bc><ed><be><92>"
"SCORPIUS";"♏";"\xE2\x99\x8F";"<e2><99><8f>"
"SCROLL";"📜";"\xF0\x9F\x93\x9C";"<ed><a0><bd><ed><b3><9c>"
"SEAT";"💺";"\xF0\x9F\x92\xBA";"<ed><a0><bd><ed><b2><ba>"
"SEE-NO-EVIL MONKEY";"🙈";"\xF0\x9F\x99\x88";"<ed><a0><bd><ed><b9><88>"
"SEEDLING";"🌱";"\xF0\x9F\x8C\xB1";"<ed><a0><bc><ed><bc><b1>"
"SHAVED ICE";"🍧";"\xF0\x9F\x8D\xA7";"<ed><a0><bc><ed><bd><a7>"
"SHEEP";"🐑";"\xF0\x9F\x90\x91";"<ed><a0><bd><ed><b0><91>"
"SHIP";"🚢";"\xF0\x9F\x9A\xA2";"<ed><a0><bd><ed><ba><a2>"
"SHOOTING STAR";"🌠";"\xF0\x9F\x8C\xA0";"<ed><a0><bc><ed><bc><a0>"
"SHORTCAKE";"🍰";"\xF0\x9F\x8D\xB0";"<ed><a0><bc><ed><bd><b0>"
"SHOWER";"🚿";"\xF0\x9F\x9A\xBF";"<ed><a0><bd><ed><ba><bf>"
"SILHOUETTE OF JAPAN";"🗾";"\xF0\x9F\x97\xBE";"<ed><a0><bd><ed><b7><be>"
"SIX POINTED STAR WITH MIDDLE DOT";"🔯";"\xF0\x9F\x94\xAF";"<ed><a0><bd><ed><b4><af>"
"SKI AND SKI BOOT";"🎿";"\xF0\x9F\x8E\xBF";"<ed><a0><bc><ed><be><bf>"
"SKULL";"💀";"\xF0\x9F\x92\x80";"<ed><a0><bd><ed><b2><80>"
"SLEEPING FACE";"😴";"\xF0\x9F\x98\xB4";"<ed><a0><bd><ed><b8><b4>"
"SLEEPING SYMBOL";"💤";"\xF0\x9F\x92\xA4";"<ed><a0><bd><ed><b2><a4>"
"SLEEPY FACE";"😪";"\xF0\x9F\x98\xAA";"<ed><a0><bd><ed><b8><aa>"
"SLICE OF PIZZA";"🍕";"\xF0\x9F\x8D\x95";"<ed><a0><bc><ed><bd><95>"
"SLOT MACHINE";"🎰";"\xF0\x9F\x8E\xB0";"<ed><a0><bc><ed><be><b0>"
"SMALL BLUE DIAMOND";"🔹";"\xF0\x9F\x94\xB9";"<ed><a0><bd><ed><b4><b9>"
"SMALL ORANGE DIAMOND";"🔸";"\xF0\x9F\x94\xB8";"<ed><a0><bd><ed><b4><b8>"
"SMILING CAT FACE WITH HEART-SHAPED EYES";"😻";"\xF0\x9F\x98\xBB";"<ed><a0><bd><ed><b8><bb>"
"SMILING CAT FACE WITH OPEN MOUTH";"😺";"\xF0\x9F\x98\xBA";"<ed><a0><bd><ed><b8><ba>"
"SMILING FACE WITH HALO";"😇";"\xF0\x9F\x98\x87";"<ed><a0><bd><ed><b8><87>"
"SMILING FACE WITH HEART-SHAPED EYES";"😍";"\xF0\x9F\x98\x8D";"<ed><a0><bd><ed><b8><8d>"
"SMILING FACE WITH HORNS";"😈";"\xF0\x9F\x98\x88";"<ed><a0><bd><ed><b8><88>"
"SMILING FACE WITH OPEN MOUTH";"😃";"\xF0\x9F\x98\x83";"<ed><a0><bd><ed><b8><83>"
"SMILING FACE WITH OPEN MOUTH AND COLD SWEAT";"😅";"\xF0\x9F\x98\x85";"<ed><a0><bd><ed><b8><85>"
"SMILING FACE WITH OPEN MOUTH AND SMILING EYES";"😄";"\xF0\x9F\x98\x84";"<ed><a0><bd><ed><b8><84>"
"SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES";"😆";"\xF0\x9F\x98\x86";"<ed><a0><bd><ed><b8><86>"
"SMILING FACE WITH SMILING EYES";"😊";"\xF0\x9F\x98\x8A";"<ed><a0><bd><ed><b8><8a>"
"SMILING FACE WITH SUNGLASSES";"😎";"\xF0\x9F\x98\x8E";"<ed><a0><bd><ed><b8><8e>"
"SMIRKING FACE";"😏";"\xF0\x9F\x98\x8F";"<ed><a0><bd><ed><b8><8f>"
"SMOKING SYMBOL";"🚬";"\xF0\x9F\x9A\xAC";"<ed><a0><bd><ed><ba><ac>"
"SNAIL";"🐌";"\xF0\x9F\x90\x8C";"<ed><a0><bd><ed><b0><8c>"
"SNAKE";"🐍";"\xF0\x9F\x90\x8D";"<ed><a0><bd><ed><b0><8d>"
"SNOWBOARDER";"🏂";"\xF0\x9F\x8F\x82";"<ed><a0><bc><ed><bf><82>"
"SNOWFLAKE";"❄";"\xE2\x9D\x84";"<e2><9d><84>"
"SNOWMAN WITHOUT SNOW";"⛄";"\xE2\x9B\x84";"<e2><9b><84>"
"SOCCER BALL";"⚽";"\xE2\x9A\xBD";"<e2><9a><bd>"
"SOFT ICE CREAM";"🍦";"\xF0\x9F\x8D\xA6";"<ed><a0><bc><ed><bd><a6>"
"SOON WITH RIGHTWARDS ARROW ABOVE";"🔜";"\xF0\x9F\x94\x9C";"<ed><a0><bd><ed><b4><9c>"
"SOUTH EAST ARROW";"↘";"\xE2\x86\x98";"<e2><86><98>"
"SOUTH WEST ARROW";"↙";"\xE2\x86\x99";"<e2><86><99>"
"SPAGHETTI";"🍝";"\xF0\x9F\x8D\x9D";"<ed><a0><bc><ed><bd><9d>"
"SPARKLE";"❇";"\xE2\x9D\x87";"<e2><9d><87>"
"SPARKLES";"✨";"\xE2\x9C\xA8";"<e2><9c><a8>"
"SPARKLING HEART";"💖";"\xF0\x9F\x92\x96";"<ed><a0><bd><ed><b2><96>"
"SPEAK-NO-EVIL MONKEY";"🙊";"\xF0\x9F\x99\x8A";"<ed><a0><bd><ed><b9><8a>"
"SPEAKER WITH CANCELLATION STROKE";"🔇";"\xF0\x9F\x94\x87";"<ed><a0><bd><ed><b4><87>"
"SPEAKER WITH ONE SOUND WAVE";"🔉";"\xF0\x9F\x94\x89";"<ed><a0><bd><ed><b4><89>"
"SPEAKER WITH THREE SOUND WAVES";"🔊";"\xF0\x9F\x94\x8A";"<ed><a0><bd><ed><b4><8a>"
"SPEECH BALLOON";"💬";"\xF0\x9F\x92\xAC";"<ed><a0><bd><ed><b2><ac>"
"SPEEDBOAT";"🚤";"\xF0\x9F\x9A\xA4";"<ed><a0><bd><ed><ba><a4>"
"SPIRAL SHELL";"🐚";"\xF0\x9F\x90\x9A";"<ed><a0><bd><ed><b0><9a>"
"SPLASHING SWEAT SYMBOL";"💦";"\xF0\x9F\x92\xA6";"<ed><a0><bd><ed><b2><a6>"
"SPOUTING WHALE";"🐳";"\xF0\x9F\x90\xB3";"<ed><a0><bd><ed><b0><b3>"
"SQUARED CJK UNIFIED IDEOGRAPH-5272";"🈹";"\xF0\x9F\x88\xB9";"<ed><a0><bc><ed><b8><b9>"
"SQUARED CJK UNIFIED IDEOGRAPH-5408";"🈴";"\xF0\x9F\x88\xB4";"<ed><a0><bc><ed><b8><b4>"
"SQUARED CJK UNIFIED IDEOGRAPH-55B6";"🈺";"\xF0\x9F\x88\xBA";"<ed><a0><bc><ed><b8><ba>"
"SQUARED CJK UNIFIED IDEOGRAPH-6307";"🈯";"\xF0\x9F\x88\xAF";"<ed><a0><bc><ed><b8><af>"
"SQUARED CJK UNIFIED IDEOGRAPH-6708";"🈷";"\xF0\x9F\x88\xB7";"<ed><a0><bc><ed><b8><b7>"
"SQUARED CJK UNIFIED IDEOGRAPH-6709";"🈶";"\xF0\x9F\x88\xB6";"<ed><a0><bc><ed><b8><b6>"
"SQUARED CJK UNIFIED IDEOGRAPH-6E80";"🈵";"\xF0\x9F\x88\xB5";"<ed><a0><bc><ed><b8><b5>"
"SQUARED CJK UNIFIED IDEOGRAPH-7121";"🈚";"\xF0\x9F\x88\x9A";"<ed><a0><bc><ed><b8><9a>"
"SQUARED CJK UNIFIED IDEOGRAPH-7533";"🈸";"\xF0\x9F\x88\xB8";"<ed><a0><bc><ed><b8><b8>"
"SQUARED CJK UNIFIED IDEOGRAPH-7981";"🈲";"\xF0\x9F\x88\xB2";"<ed><a0><bc><ed><b8><b2>"
"SQUARED CJK UNIFIED IDEOGRAPH-7A7A";"🈳";"\xF0\x9F\x88\xB3";"<ed><a0><bc><ed><b8><b3>"
"SQUARED CL";"🆑";"\xF0\x9F\x86\x91";"<ed><a0><bc><ed><b6><91>"
"SQUARED COOL";"🆒";"\xF0\x9F\x86\x92";"<ed><a0><bc><ed><b6><92>"
"SQUARED FREE";"🆓";"\xF0\x9F\x86\x93";"<ed><a0><bc><ed><b6><93>"
"SQUARED ID";"🆔";"\xF0\x9F\x86\x94";"<ed><a0><bc><ed><b6><94>"
"SQUARED KATAKANA KOKO";"🈁";"\xF0\x9F\x88\x81";"<ed><a0><bc><ed><b8><81>"
"SQUARED KATAKANA SA";"🈂";"\xF0\x9F\x88\x82";"<ed><a0><bc><ed><b8><82>"
"SQUARED NEW";"🆕";"\xF0\x9F\x86\x95";"<ed><a0><bc><ed><b6><95>"
"SQUARED NG";"🆖";"\xF0\x9F\x86\x96";"<ed><a0><bc><ed><b6><96>"
"SQUARED OK";"🆗";"\xF0\x9F\x86\x97";"<ed><a0><bc><ed><b6><97>"
"SQUARED SOS";"🆘";"\xF0\x9F\x86\x98";"<ed><a0><bc><ed><b6><98>"
"SQUARED UP WITH EXCLAMATION MARK";"🆙";"\xF0\x9F\x86\x99";"<ed><a0><bc><ed><b6><99>"
"SQUARED VS";"🆚";"\xF0\x9F\x86\x9A";"<ed><a0><bc><ed><b6><9a>"
"STATION";"🚉";"\xF0\x9F\x9A\x89";"<ed><a0><bd><ed><ba><89>"
"STATUE OF LIBERTY";"🗽";"\xF0\x9F\x97\xBD";"<ed><a0><bd><ed><b7><bd>"
"STEAM LOCOMOTIVE";"🚂";"\xF0\x9F\x9A\x82";"<ed><a0><bd><ed><ba><82>"
"STEAMING BOWL";"🍜";"\xF0\x9F\x8D\x9C";"<ed><a0><bc><ed><bd><9c>"
"STRAIGHT RULER";"📏";"\xF0\x9F\x93\x8F";"<ed><a0><bd><ed><b3><8f>"
"STRAWBERRY";"🍓";"\xF0\x9F\x8D\x93";"<ed><a0><bc><ed><bd><93>"
"SUN BEHIND CLOUD";"⛅";"\xE2\x9B\x85";"<e2><9b><85>"
"SUN WITH FACE";"🌞";"\xF0\x9F\x8C\x9E";"<ed><a0><bc><ed><bc><9e>"
"SUNFLOWER";"🌻";"\xF0\x9F\x8C\xBB";"<ed><a0><bc><ed><bc><bb>"
"SUNRISE";"🌅";"\xF0\x9F\x8C\x85";"<ed><a0><bc><ed><bc><85>"
"SUNRISE OVER MOUNTAINS";"🌄";"\xF0\x9F\x8C\x84";"<ed><a0><bc><ed><bc><84>"
"SUNSET OVER BUILDINGS";"🌇";"\xF0\x9F\x8C\x87";"<ed><a0><bc><ed><bc><87>"
"SURFER";"🏄";"\xF0\x9F\x8F\x84";"<ed><a0><bc><ed><bf><84>"
"SUSHI";"🍣";"\xF0\x9F\x8D\xA3";"<ed><a0><bc><ed><bd><a3>"
"SUSPENSION RAILWAY";"🚟";"\xF0\x9F\x9A\x9F";"<ed><a0><bd><ed><ba><9f>"
"SWIMMER";"🏊";"\xF0\x9F\x8F\x8A";"<ed><a0><bc><ed><bf><8a>"
"SYRINGE";"💉";"\xF0\x9F\x92\x89";"<ed><a0><bd><ed><b2><89>"
"T-SHIRT";"👕";"\xF0\x9F\x91\x95";"<ed><a0><bd><ed><b1><95>"
"TANABATA TREE";"🎋";"\xF0\x9F\x8E\x8B";"<ed><a0><bc><ed><be><8b>"
"TANGERINE";"🍊";"\xF0\x9F\x8D\x8A";"<ed><a0><bc><ed><bd><8a>"
"TAURUS";"♉";"\xE2\x99\x89";"<e2><99><89>"
"TAXI";"🚕";"\xF0\x9F\x9A\x95";"<ed><a0><bd><ed><ba><95>"
"TEACUP WITHOUT HANDLE";"🍵";"\xF0\x9F\x8D\xB5";"<ed><a0><bc><ed><bd><b5>"
"TEAR-OFF CALENDAR";"📆";"\xF0\x9F\x93\x86";"<ed><a0><bd><ed><b3><86>"
"TELEPHONE RECEIVER";"📞";"\xF0\x9F\x93\x9E";"<ed><a0><bd><ed><b3><9e>"
"TELESCOPE";"🔭";"\xF0\x9F\x94\xAD";"<ed><a0><bd><ed><b4><ad>"
"TELEVISION";"📺";"\xF0\x9F\x93\xBA";"<ed><a0><bd><ed><b3><ba>"
